"Product","Dead","Started","Ended","Hits","Type","Profit","FLOSS","Acquisition","Social","Days","AvgHits","DeflatedHits","AvgDeflatedHits"
"Accessible Search",FALSE,2006-07-20,2013-04-01,43300,"service",FALSE,FALSE,FALSE,FALSE,2447,17.5020210185934,2.62113441789509e-06,-0.222715366206384
"Ad Manager",FALSE,2008-03-13,2013-04-01,308000,"service",TRUE,FALSE,FALSE,FALSE,1845,164.529914529915,7.46651821472733e-06,-0.432279293305607
"AdMob",FALSE,2011-11-09,2013-04-01,2590000,"service",TRUE,FALSE,TRUE,FALSE,509,4832.08955223881,8.2386151174234e-06,-0.72463204828848
"AdSense",FALSE,2003-06-18,2013-04-01,39700000,"service",TRUE,FALSE,TRUE,FALSE,3575,11021.6546363132,0.0133501296167414,-2.15642330859776
"AdWords",FALSE,2000-10-23,2013-04-01,28100000,"service",TRUE,FALSE,FALSE,FALSE,4543,6148.79649890591,0.0411589777027164,-2.73453140445029
"AdWords Editor",FALSE,2006-01-22,2013-04-01,301000,"program",TRUE,FALSE,FALSE,FALSE,2626,113.456464379947,2.39189320341687e-05,-0.444647139351942
"AdWords Express",FALSE,2011-07-25,2013-04-01,170000,"service",TRUE,FALSE,FALSE,FALSE,616,264.385692068429,6.36273200587132e-07,-0.390913272957768
"Ad Planner",FALSE,2008-06-24,2013-04-01,4530000,"service",TRUE,FALSE,FALSE,FALSE,1742,2560.7687959299,9.39001123955785e-05,-0.846309360976151
"A Google A Day",FALSE,2011-04-11,2013-04-01,3260000,"service",FALSE,FALSE,FALSE,FALSE,721,4358.28877005348,1.43130500890047e-05,-0.751262346710973
"Aerial View",FALSE,2009-12-08,2013-04-01,2980000,"service",FALSE,FALSE,FALSE,FALSE,1210,2409.0541632983,2.75146152201381e-05,-0.741562024325963
"Alerts",FALSE,2004-09-11,2013-04-01,1530000,"service",FALSE,FALSE,FALSE,FALSE,3124,485.56013963821,0.000259203590272689,-0.749016770818507
"Analytics",FALSE,2005-11-11,2013-04-01,76100000,"service",TRUE,FALSE,TRUE,FALSE,2698,27926.6055045872,0.00674673385765534,-2.04800082877039
"Android",FALSE,2008-09-23,2013-04-01,58600000,"program",FALSE,TRUE,TRUE,FALSE,1651,34922.52681764,0.00105776281576298,-1.52678041065653
"AngularJS",FALSE,2009-10-13,2013-04-01,687000,"program",FALSE,TRUE,FALSE,FALSE,1266,531.322505800464,6.90676246178135e-06,-0.528095947501341
"App Engine",FALSE,2008-04-07,2013-04-01,10600000,"service",TRUE,FALSE,FALSE,FALSE,1820,5739.03627504061,0.000247382255060512,-1.04220212566309
"App Inventor for Android",TRUE,2010-07-12,2011-12-31,1010000,"program",FALSE,TRUE,FALSE,FALSE,537,989.22624877571,6.71533457849163e-06,-0.579032438890356
"Apps",FALSE,2006-08-28,2013-04-01,1.4e+07,"service",TRUE,FALSE,FALSE,FALSE,2408,5749.48665297741,0.00079869699068058,-1.21371619370614
"Apps Marketplace",FALSE,2010-03-09,2013-04-01,2820000,"service",TRUE,FALSE,FALSE,FALSE,1119,2460.73298429319,2.26735257147366e-05,-0.730127765169101
"Apps Script",FALSE,2009-05-01,2013-04-01,1030000,"service",FALSE,FALSE,FALSE,FALSE,1431,706.447187928669,1.33071866721252e-05,-0.584317083180185
"Art Project",FALSE,2011-02-01,2013-04-01,21400000,"service",FALSE,FALSE,FALSE,TRUE,790,26193.3904528764,0.000104347351159651,-1.10967502426083
"Audio Indexing",FALSE,2008-09-16,2013-04-01,26900,"service",FALSE,FALSE,FALSE,FALSE,1658,15.9643916913947,4.90754494029992e-07,-0.190700030749157
"Authenticator",FALSE,2010-03-25,2013-04-01,310000,"program",FALSE,TRUE,FALSE,FALSE,1103,274.336283185841,2.43258830143259e-06,-0.434327226792232
"Blogger",FALSE,2003-02-18,2013-04-01,1490000,"service",TRUE,FALSE,TRUE,TRUE,3695,400.322407307899,0.000601317668766795,-0.807976995037879
"Blogger Mobile",FALSE,2005-05-06,2013-04-01,71600,"program",FALSE,FALSE,FALSE,FALSE,2887,24.5710363761153,8.46053312088305e-06,-0.274104572141685
