"Sleep.Date","ZQ","Total.Z","Time.to.Z","Time.in.Wake","Time.in.REM","Time.in.Light","Time.in.Deep","Awakenings","Morning.Feel","MP","Disturbance"
2012-09-07,73,393,29,6,118,216,59,6,2,"3",-1.14591938558795
2012-09-08,92,518,21,11,147,311,60,6,3,"3",-1.44186829873621
2012-09-09,92,500,32,27,171,259,70,7,3,"3",0.539972045436157
2012-09-10,94,517,20,17,155,298,64,5,4,"4",-1.51516964063012
2012-09-12,96,551,24,11,188,323,40,5,3,"3",-1.55781854734629
2012-09-13,100,531,15,7,176,283,72,4,3,"4",-2.7440260736326
2012-09-14,96,520,18,6,169,290,62,4,3,"3",-2.58538939037942
2012-09-15,92,504,28,14,153,283,69,7,2,"4",-0.452191591423584
2012-09-16,91,497,50,9,177,267,54,5,2,"2",0.180124828067499
2012-09-17,103,546,15,9,179,291,76,5,3,"3",-2.30604768752052
2012-09-18,93,520,26,13,181,291,49,5,4,"3",-1.30682391028966
2012-09-19,90,511,16,10,154,300,58,8,4,"4",-1.19339811915362
2012-09-20,70,448,135,17,93,327,29,8,1,"4",7.64083516042623
2012-09-21,123,695,17,25,227,402,67,7,4,"3",-0.634458097410307
2012-09-22,104,555,16,27,173,300,82,4,4,"3",-1.58371621152837
2012-09-23,96,520,31,14,184,270,67,7,3,"4",-0.239091090087468
2012-09-24,96,526,42,14,180,287,59,4,4,"4",-0.444874835026957
2012-09-25,93,515,20,17,157,291,67,8,3,"3",-0.528017390791538
2012-09-26,96,557,25,44,209,281,67,15,3,"4",3.60102844929812
2012-09-27,105,582,23,24,191,320,71,7,3,"3",-0.262720912821018
2012-09-28,92,526,29,33,180,288,59,10,3,"2",1.64080670243628
2012-09-29,88,480,24,10,164,253,64,7,3,"3",-0.954180865536841
2012-09-30,88,483,21,8,144,268,72,9,2,"3",-0.618107503146455
2012-10-01,76,435,31,18,135,258,42,4,3,"3",-1.00838806759428
2012-10-02,82,459,18,20,137,267,55,6,3,"4",-1.16479443732584
2012-10-03,100,534,19,12,183,282,70,5,2,"3",-1.8585222314902
2012-10-04,105,558,11,16,187,289,82,7,3,"2",-1.55083346282902
2012-10-05,97,571,31,39,179,331,62,12,3,"3",2.76775811171706
2012-10-06,99,527,15,19,195,253,80,8,2,"2",-0.774257256852512
2012-10-07,95,540,23,23,178,312,50,6,3,"2",-0.646235480850153
2012-10-08,108,594,32,26,213,299,82,12,4,"2",2.13076197708418
2012-10-09,96,531,40,28,184,277,70,9,2,"3",1.82080536697446
2012-10-10,99,562,30,22,183,320,59,8,2,"3",0.454636704076894
2012-10-11,93,521,33,19,162,299,60,6,3,"3",-0.153755748728205
2012-10-12,80,501,24,88,145,298,58,12,1,"4",4.93925069466364
2012-10-13,95,563,24,35,141,361,62,10,3,"4",1.3945668363753
2012-10-14,95,541,21,29,175,306,60,8,3,"3",0.196581926649144
2012-10-15,97,526,54,24,197,262,68,7,2,"4",1.93931760098551
2012-10-16,94,490,16,6,129,283,79,2,3,"4",-3.38555789116255
2012-10-17,93,482,33,6,150,258,75,3,3,"3",-1.84893763364504
2012-10-18,61,325,41,26,121,143,61,8,2,"3",1.45386048130775
2012-10-19,112,613,17,7,176,359,79,6,2,"2",-1.94385757284947
2012-10-20,107,571,33,15,207,288,76,6,3,"3",-0.371611021059975
2012-10-21,101,550,25,9,200,285,65,7,4,"3",-0.937611183174412
2012-10-22,114,626,18,10,218,338,71,8,3,"3",-1.05133111826288
2012-10-23,91,493,26,10,149,281,63,4,2,"3",-1.79926611448468
2012-10-24,90,518,33,16,160,310,48,7,1,"4",0.011903546969161
2012-10-25,98,527,32,13,174,280,74,7,3,"4",-0.222521407725039
2012-10-26,93,504,21,8,146,289,70,5,3,"3",-1.93431050293123
2012-10-27,87,458,34,1,137,258,63,2,3,"4",-2.37927397356057
2012-10-28,98,517,16,15,164,266,88,7,3,"2",-1.2501297786851
2012-10-29,81,471,29,20,136,286,49,8,2,"2",0.274675567465637
2012-10-30,110,607,17,17,197,329,82,10,4,"2",-0.083016392235267
2012-10-31,93,521,36,24,169,283,69,9,2,"3",1.3188160928612
2012-11-01,75,376,21,19,131,171,74,4,3,"4",-1.66425925396505
2012-11-02,99,541,29,16,169,298,75,7,3,"3",-0.272230454812327
2012-11-03,88,481,26,10,148,267,66,7,3,"4",-0.812113864646097
2012-11-04,92,514,16,11,151,311,53,4,3,"3",-2.45513730085545
2012-11-05,83,457,21,17,146,256,55,4,4,"4",-1.77318689013094
2012-11-06,94,512,19,24,161,272,80,9,3,"3",0.111246585289881
2012-11-08,122,637,5,4,197,351,90,2,3,"4",-4.27585403222753
2012-11-09,90,476,32,25,168,237,71,5,3,"3",-0.227057090622115
2012-11-11,65,350,15,8,91,209,51,3,3,"2",-3.01861300549585
2012-11-13,100,565,11,21,181,324,61,8,4,"2",-0.949463622468115
2012-11-14,103,557,18,22,193,289,76,8,3,"4",-0.397765301267569
2012-11-15,94,520,30,16,180,275,65,8,2,"4",0.127853795579239
2012-11-16,99,537,20,12,186,281,70,7,2,"3",-1.12938723115244
2012-11-17,86,489,34,20,154,279,57,8,2,"4",0.629843069692496
2012-11-18,96,511,12,22,196,240,76,8,2,"2",-0.8239663039398
2012-11-19,106,583,24,14,181,327,76,8,3,"3",-0.407274843258878
2012-11-20,74,392,26,39,132,194,66,4,3,"4",-0.219815390079344
2012-11-21,113,599,15,14,200,314,85,6,3,"2",-1.70467784715961
2012-11-22,96,524,26,29,186,268,70,8,4,"3",0.551749428876004
2012-11-23,102,564,23,8,199,316,50,4,3,"3",-2.12129425198668
